node1	node2	node1_string_id	node2_string_id	weight	weight2
MRPL2	RPS3	9606.ENSP00000373404	9606.ENSP00000278572	0.402	0.402
MRPL2	RPL13	9606.ENSP00000373404	9606.ENSP00000307889	0.402	0.402
MRPL2	RPL15	9606.ENSP00000373404	9606.ENSP00000309334	0.402	0.402
MRPL2	RPS6	9606.ENSP00000373404	9606.ENSP00000369757	0.402	0.402
MRPL2	RPS24	9606.ENSP00000373404	9606.ENSP00000414321	0.402	0.402
MRPL2	RPS25	9606.ENSP00000373404	9606.ENSP00000435096	0.402	0.402
MRPL2	RPL36	9606.ENSP00000373404	9606.ENSP00000464342	0.402	0.402
MRPL2	RPL18	9606.ENSP00000373404	9606.ENSP00000447001	0.402	0.402
MRPL2	RPL37A	9606.ENSP00000373404	9606.ENSP00000418082	0.402	0.402
RBM39	RPS18	9606.ENSP00000253363	9606.ENSP00000393241	0.402	0.402
RPL35	RPN1	9606.ENSP00000259469	9606.ENSP00000296255	0.402	0.402
DDX18	RPL22	9606.ENSP00000263239	9606.ENSP00000346088	0.403	0.402
EXOSC2	RAN	9606.ENSP00000361433	9606.ENSP00000446215	0.403	0.402
MCM5	SF3B1	9606.ENSP00000216122	9606.ENSP00000335321	0.403	0.402
MRPL2	RPS11	9606.ENSP00000373404	9606.ENSP00000270625	0.403	0.402
MRPL2	RPL5	9606.ENSP00000373404	9606.ENSP00000359345	0.403	0.402
MRPL2	RPL13A	9606.ENSP00000373404	9606.ENSP00000375730	0.403	0.403
MRPL2	RPS17	9606.ENSP00000373404	9606.ENSP00000498019	0.403	0.402
MRPL2	RPL11	9606.ENSP00000373404	9606.ENSP00000496250	0.403	0.402
MRPL2	RPL10	9606.ENSP00000373404	9606.ENSP00000413436	0.403	0.403
BRIX1	RPL5	9606.ENSP00000338862	9606.ENSP00000359345	0.404	0.404
CAVIN1	EGFR	9606.ENSP00000349541	9606.ENSP00000275493	0.404	0.404
DAP3	RPL3	9606.ENSP00000357320	9606.ENSP00000346001	0.404	0.404
DAP3	RPL13A	9606.ENSP00000357320	9606.ENSP00000375730	0.404	0.404
DAP3	RPS16	9606.ENSP00000357320	9606.ENSP00000367806	0.404	0.404
DDX54	NPM1	9606.ENSP00000323858	9606.ENSP00000296930	0.404	0.404
GTPBP4	NPM1	9606.ENSP00000354040	9606.ENSP00000296930	0.404	0.404
HSP90AB1	HSPD1	9606.ENSP00000360609	9606.ENSP00000340019	0.404	0.404
MRPL19	RPS13	9606.ENSP00000377486	9606.ENSP00000435777	0.404	0.404
MRPL19	RPS14	9606.ENSP00000377486	9606.ENSP00000385958	0.404	0.404
MRPL19	RPS5	9606.ENSP00000377486	9606.ENSP00000472985	0.404	0.404
MRPL19	RPL17	9606.ENSP00000377486	9606.ENSP00000463842	0.404	0.404
RBM39	RPS20	9606.ENSP00000253363	9606.ENSP00000429374	0.404	0.404
DDX3X	RPL26	9606.ENSP00000494040	9606.ENSP00000463784	0.405	0.405
HIST2H3D	LMNA	9606.ENSP00000333277	9606.ENSP00000357283	0.405	0.404
NAT10	RPL5	9606.ENSP00000257829	9606.ENSP00000359345	0.406	0.406
RBM39	RPL22	9606.ENSP00000253363	9606.ENSP00000346088	0.406	0.406
RPS2	YBX1	9606.ENSP00000341885	9606.ENSP00000361626	0.407	0.407
RSL1D1	YBX1	9606.ENSP00000460871	9606.ENSP00000361626	0.407	0.407
DDX27	RPL37A	9606.ENSP00000483495	9606.ENSP00000418082	0.408	0.408
EEF1A1	PELO	9606.ENSP00000339063	9606.ENSP00000274311	0.408	0.408
EFTUD2	RPL22	9606.ENSP00000392094	9606.ENSP00000346088	0.408	0.408
HNRNPC	RBM39	9606.ENSP00000451291	9606.ENSP00000253363	0.408	0.408
LMNA	SF3B3	9606.ENSP00000357283	9606.ENSP00000305790	0.408	0.408
PRPF8	RBM39	9606.ENSP00000460348	9606.ENSP00000253363	0.408	0.408
RPL26	WDR74	9606.ENSP00000463784	9606.ENSP00000432119	0.408	0.408
CCT3	PSMA2	9606.ENSP00000295688	9606.ENSP00000223321	0.409	0.408
DDX17	SFPQ	9606.ENSP00000380033	9606.ENSP00000349748	0.409	0.408
DHX9	ELAVL1	9606.ENSP00000356520	9606.ENSP00000385269	0.409	0.408
EEF1A1	PSMA2	9606.ENSP00000339063	9606.ENSP00000223321	0.409	0.408
G3BP2	RPS8	9606.ENSP00000352738	9606.ENSP00000379888	0.409	0.408
HSP90AB1	PSMA2	9606.ENSP00000360609	9606.ENSP00000223321	0.409	0.408
HSPA8	PSMA2	9606.ENSP00000437125	9606.ENSP00000223321	0.409	0.408
PABPC1	PCBP1	9606.ENSP00000313007	9606.ENSP00000305556	0.409	0.408
RBM39	SF3B2	9606.ENSP00000253363	9606.ENSP00000318861	0.409	0.408
RPF2	RPL13	9606.ENSP00000402338	9606.ENSP00000307889	0.409	0.409
RPF2	RPL13A	9606.ENSP00000402338	9606.ENSP00000375730	0.409	0.409
GCN1L1	RPS10	9606.ENSP00000300648	9606.ENSP00000481646	0.41	0.41
HEATR1	PSMA2	9606.ENSP00000355541	9606.ENSP00000223321	0.41	0.41
DDX18	RPL26	9606.ENSP00000263239	9606.ENSP00000463784	0.411	0.41
HIST1H4F	RPS3A	9606.ENSP00000244537	9606.ENSP00000346050	0.411	0.41
HNRNPU	UPF1	9606.ENSP00000491215	9606.ENSP00000470142	0.411	0.41
IGF2BP3	RPS16	9606.ENSP00000258729	9606.ENSP00000367806	0.411	0.41
MRPL2	RPL17	9606.ENSP00000373404	9606.ENSP00000463842	0.411	0.411
PABPC1	RALY	9606.ENSP00000313007	9606.ENSP00000246194	0.411	0.41
RBM39	RPS4X	9606.ENSP00000253363	9606.ENSP00000362744	0.411	0.41
DDX21	NOP58	9606.ENSP00000346120	9606.ENSP00000264279	0.412	0.412
NUP107	RCC1	9606.ENSP00000229179	9606.ENSP00000497402	0.412	0.412
RPS3A	USP10	9606.ENSP00000346050	9606.ENSP00000457411	0.412	0.412
SND1	USP10	9606.ENSP00000346762	9606.ENSP00000457411	0.412	0.412
EIF3L	NCL	9606.ENSP00000499067	9606.ENSP00000318195	0.413	0.412
EXOSC4	UTP18	9606.ENSP00000315476	9606.ENSP00000225298	0.413	0.413
HIST1H4F	HSPA6	9606.ENSP00000244537	9606.ENSP00000310219	0.413	0.412
PABPC1	UBAP2L	9606.ENSP00000313007	9606.ENSP00000389445	0.413	0.412
RBM39	RPS8	9606.ENSP00000253363	9606.ENSP00000379888	0.413	0.412
NOL6	RPL4	9606.ENSP00000297990	9606.ENSP00000311430	0.414	0.414
EBNA1BP2	NOP58	9606.ENSP00000407323	9606.ENSP00000264279	0.415	0.415
HNRNPA1	PABPC1	9606.ENSP00000341826	9606.ENSP00000313007	0.415	0.414
NPM1	RPLP0	9606.ENSP00000296930	9606.ENSP00000449328	0.415	0.414
EXOSC4	NOL6	9606.ENSP00000315476	9606.ENSP00000297990	0.416	0.416
ILF2	IQGAP1	9606.ENSP00000355011	9606.ENSP00000268182	0.416	0.416
RPS8	YBX1	9606.ENSP00000379888	9606.ENSP00000361626	0.416	0.416
FBL	NSUN2	9606.ENSP00000221801	9606.ENSP00000264670	0.417	0.417
RPF2	RPL35	9606.ENSP00000402338	9606.ENSP00000259469	0.417	0.417
FBL	FTSJ3	9606.ENSP00000221801	9606.ENSP00000396673	0.419	0.418
G3BP1	ZC3HAV1	9606.ENSP00000377681	9606.ENSP00000242351	0.419	0.418
HNRNPA2B1	HNRNPA3	9606.ENSP00000346694	9606.ENSP00000376309	0.419	0.418
NCL	RPL3	9606.ENSP00000318195	9606.ENSP00000346001	0.419	0.418
DDX21	DHX9	9606.ENSP00000346120	9606.ENSP00000356520	0.42	0.42
DDX39B	RBM39	9606.ENSP00000416269	9606.ENSP00000253363	0.42	0.42
DDX3X	RPS3	9606.ENSP00000494040	9606.ENSP00000278572	0.42	0.42
EFTUD2	RPS17	9606.ENSP00000392094	9606.ENSP00000498019	0.42	0.42
ELAVL1	PCBP2	9606.ENSP00000385269	9606.ENSP00000352438	0.42	0.42
EWSR1	HNRNPD	9606.ENSP00000400142	9606.ENSP00000313199	0.42	0.42
FASTKD2	IGF2BP3	9606.ENSP00000385990	9606.ENSP00000258729	0.42	0.42
G3BP1	RPS11	9606.ENSP00000377681	9606.ENSP00000270625	0.42	0.42
HNRNPK	RBM14	9606.ENSP00000365458	9606.ENSP00000311747	0.42	0.42
ILF3	NPM1	9606.ENSP00000404121	9606.ENSP00000296930	0.42	0.42
MCM5	SF3A1	9606.ENSP00000216122	9606.ENSP00000215793	0.42	0.42
NUP153	NUP210	9606.ENSP00000444029	9606.ENSP00000254508	0.42	0.42
NUP153	RCC1	9606.ENSP00000444029	9606.ENSP00000497402	0.42	0.42
RBM39	SF3B3	9606.ENSP00000253363	9606.ENSP00000305790	0.42	0.42
RPS2	TPT1	9606.ENSP00000341885	9606.ENSP00000477781	0.42	0.42
ACTR2	MISP	9606.ENSP00000367220	9606.ENSP00000215582	0.421	0.42
ARF1	RAB5C	9606.ENSP00000440005	9606.ENSP00000447053	0.421	0.42
CCT3	KPNA4	9606.ENSP00000295688	9606.ENSP00000334373	0.421	0.42
DAP3	RBM39	9606.ENSP00000357320	9606.ENSP00000253363	0.421	0.42
DDB1	HIST2H2BE	9606.ENSP00000301764	9606.ENSP00000358151	0.421	0.42
DDX39B	RPS15A	9606.ENSP00000416269	9606.ENSP00000318646	0.421	0.42
DDX39B	MDC1	9606.ENSP00000416269	9606.ENSP00000365588	0.421	0.42
DDX39B	EXOSC9	9606.ENSP00000416269	9606.ENSP00000368984	0.421	0.42
EEF1A1	PKM	9606.ENSP00000339063	9606.ENSP00000320171	0.421	0.42
EGFR	EMD	9606.ENSP00000275493	9606.ENSP00000358857	0.421	0.42
FUBP3	PCBP2	9606.ENSP00000318177	9606.ENSP00000352438	0.421	0.42
GNL3	RBBP7	9606.ENSP00000395772	9606.ENSP00000369424	0.421	0.42
GNL3	RPS5	9606.ENSP00000395772	9606.ENSP00000472985	0.421	0.42
HNRNPA1	IGF2BP3	9606.ENSP00000341826	9606.ENSP00000258729	0.421	0.42
HNRNPA2B1	RBM39	9606.ENSP00000346694	9606.ENSP00000253363	0.421	0.42
HNRNPA3	HNRNPAB	9606.ENSP00000376309	9606.ENSP00000425031	0.421	0.42
HNRNPH1	SFPQ	9606.ENSP00000349168	9606.ENSP00000349748	0.421	0.42
HSPA5	PSMA2	9606.ENSP00000324173	9606.ENSP00000223321	0.421	0.42
ILF2	MDC1	9606.ENSP00000355011	9606.ENSP00000365588	0.421	0.42
LMNB1	VIM	9606.ENSP00000261366	9606.ENSP00000446007	0.421	0.42
MDC1	NUDT21	9606.ENSP00000365588	9606.ENSP00000300291	0.421	0.42
MDC1	SFPQ	9606.ENSP00000365588	9606.ENSP00000349748	0.421	0.42
MRPS27	RBM39	9606.ENSP00000426941	9606.ENSP00000253363	0.421	0.42
MRPS27	YBX1	9606.ENSP00000426941	9606.ENSP00000361626	0.421	0.42
NAT10	RPL4	9606.ENSP00000257829	9606.ENSP00000311430	0.421	0.421
NUMA1	NUP98	9606.ENSP00000377298	9606.ENSP00000316032	0.421	0.42
NUMA1	RAE1	9606.ENSP00000377298	9606.ENSP00000379181	0.421	0.42
PABPC1	TPT1	9606.ENSP00000313007	9606.ENSP00000477781	0.421	0.42
PABPC1	RUVBL1	9606.ENSP00000313007	9606.ENSP00000318297	0.421	0.42
RACK1	TPT1	9606.ENSP00000426909	9606.ENSP00000477781	0.421	0.42
RBM39	SF3A1	9606.ENSP00000253363	9606.ENSP00000215793	0.421	0.42
RBM39	SNRPD3	9606.ENSP00000253363	9606.ENSP00000215829	0.421	0.42
RBM39	RPS2	9606.ENSP00000253363	9606.ENSP00000341885	0.421	0.42
RPL22	TPT1	9606.ENSP00000346088	9606.ENSP00000477781	0.421	0.42
RPLP0	TPT1	9606.ENSP00000449328	9606.ENSP00000477781	0.421	0.42
RPS20	TPT1	9606.ENSP00000429374	9606.ENSP00000477781	0.421	0.42
RPS25	TPT1	9606.ENSP00000435096	9606.ENSP00000477781	0.421	0.42
RPS4X	TPT1	9606.ENSP00000362744	9606.ENSP00000477781	0.421	0.42
RPSA	SF3B1	9606.ENSP00000389351	9606.ENSP00000335321	0.421	0.42
RPSA	YBX1	9606.ENSP00000389351	9606.ENSP00000361626	0.421	0.421
ADAR	RBM39	9606.ENSP00000357459	9606.ENSP00000253363	0.422	0.422
BCLAF1	RBM39	9606.ENSP00000435210	9606.ENSP00000253363	0.422	0.422
BCLAF1	THOC6	9606.ENSP00000435210	9606.ENSP00000326531	0.422	0.422
C1QBP	UBAP2L	9606.ENSP00000225698	9606.ENSP00000389445	0.422	0.422
CDKN2A	RPS27A	9606.ENSP00000418915	9606.ENSP00000272317	0.422	0.422
CPSF1	WDR82	9606.ENSP00000484669	9606.ENSP00000296490	0.422	0.422
CPSF1	RBM14	9606.ENSP00000484669	9606.ENSP00000311747	0.422	0.422
CS	DRG1	9606.ENSP00000342056	9606.ENSP00000329715	0.422	0.422
CTNNB1	HSP90AB1	9606.ENSP00000495360	9606.ENSP00000360609	0.422	0.422
DDX17	EWSR1	9606.ENSP00000380033	9606.ENSP00000400142	0.422	0.422
DDX21	PRPF8	9606.ENSP00000346120	9606.ENSP00000460348	0.422	0.422
DDX5	RBM39	9606.ENSP00000225792	9606.ENSP00000253363	0.422	0.422
DHX15	RBM39	9606.ENSP00000336741	9606.ENSP00000253363	0.422	0.422
DHX30	RBM39	9606.ENSP00000405620	9606.ENSP00000253363	0.422	0.422
EIF3A	G3BP1	9606.ENSP00000358140	9606.ENSP00000377681	0.422	0.422
EIF3L	G3BP1	9606.ENSP00000499067	9606.ENSP00000377681	0.422	0.422
EIF4A1	NPM1	9606.ENSP00000293831	9606.ENSP00000296930	0.422	0.422
ELAVL1	RBM39	9606.ENSP00000385269	9606.ENSP00000253363	0.422	0.422
G3BP1	RPS23	9606.ENSP00000377681	9606.ENSP00000296674	0.422	0.422
G3BP1	RPS15A	9606.ENSP00000377681	9606.ENSP00000318646	0.422	0.422
G3BP1	RPS9	9606.ENSP00000377681	9606.ENSP00000375632	0.422	0.422
G3BP1	RPS15	9606.ENSP00000377681	9606.ENSP00000466010	0.422	0.422
G3BP1	RPL6	9606.ENSP00000377681	9606.ENSP00000403172	0.422	0.422
G3BP1	RPS18	9606.ENSP00000377681	9606.ENSP00000393241	0.422	0.422
G3BP1	RPLP0	9606.ENSP00000377681	9606.ENSP00000449328	0.422	0.422
G3BP1	RPL27	9606.ENSP00000377681	9606.ENSP00000464813	0.422	0.422
G3BP1	RPL17	9606.ENSP00000377681	9606.ENSP00000463842	0.422	0.422
G3BP1	RPS17	9606.ENSP00000377681	9606.ENSP00000498019	0.422	0.422
G3BP1	RPS8	9606.ENSP00000377681	9606.ENSP00000379888	0.422	0.422
G3BP2	RPL35	9606.ENSP00000352738	9606.ENSP00000259469	0.422	0.422
G3BP2	RPL15	9606.ENSP00000352738	9606.ENSP00000309334	0.422	0.422
G3BP2	RPL18	9606.ENSP00000352738	9606.ENSP00000447001	0.422	0.422
G3BP2	RPS6	9606.ENSP00000352738	9606.ENSP00000369757	0.422	0.422
G3BP2	GTPBP4	9606.ENSP00000352738	9606.ENSP00000354040	0.422	0.422
G3BP2	RPS13	9606.ENSP00000352738	9606.ENSP00000435777	0.422	0.422
G3BP2	RPS17	9606.ENSP00000352738	9606.ENSP00000498019	0.422	0.422
G3BP2	RPL27	9606.ENSP00000352738	9606.ENSP00000464813	0.422	0.422
G3BP2	RPS9	9606.ENSP00000352738	9606.ENSP00000375632	0.422	0.422
GATAD2B	HIST2H2BE	9606.ENSP00000357644	9606.ENSP00000358151	0.422	0.422
HIST2H2BE	NPM1	9606.ENSP00000358151	9606.ENSP00000296930	0.422	0.422
HIST1H4F	LMNB1	9606.ENSP00000244537	9606.ENSP00000261366	0.422	0.422
HNRNPA0	RBM39	9606.ENSP00000316042	9606.ENSP00000253363	0.422	0.422
HNRNPA3	RBM39	9606.ENSP00000376309	9606.ENSP00000253363	0.422	0.422
HNRNPAB	RBM39	9606.ENSP00000425031	9606.ENSP00000253363	0.422	0.422
HNRNPC	HNRNPH1	9606.ENSP00000451291	9606.ENSP00000349168	0.422	0.422
HNRNPH1	IGF2BP3	9606.ENSP00000349168	9606.ENSP00000258729	0.422	0.422
HNRNPL	ILF3	9606.ENSP00000221419	9606.ENSP00000404121	0.422	0.422
HNRNPU	IGF2BP3	9606.ENSP00000491215	9606.ENSP00000258729	0.422	0.422
HSD17B10	PHB	9606.ENSP00000168216	9606.ENSP00000479488	0.422	0.422
IGF2BP3	RACK1	9606.ENSP00000258729	9606.ENSP00000426909	0.422	0.422
IGF2BP3	RPL4	9606.ENSP00000258729	9606.ENSP00000311430	0.422	0.422
IGF2BP3	NPM1	9606.ENSP00000258729	9606.ENSP00000296930	0.422	0.422
ILF3	RSL1D1	9606.ENSP00000404121	9606.ENSP00000460871	0.422	0.422
KPNB1	NUP210	9606.ENSP00000290158	9606.ENSP00000254508	0.422	0.422
KPNB1	NUMA1	9606.ENSP00000290158	9606.ENSP00000377298	0.422	0.422
LDHA	PKM	9606.ENSP00000445175	9606.ENSP00000320171	0.422	0.422
LMNA	RPA1	9606.ENSP00000357283	9606.ENSP00000254719	0.422	0.422
NPM1	NSUN2	9606.ENSP00000296930	9606.ENSP00000264670	0.422	0.422
PABPC1	RACK1	9606.ENSP00000313007	9606.ENSP00000426909	0.422	0.422
PABPC1	PCBP2	9606.ENSP00000313007	9606.ENSP00000352438	0.422	0.422
PABPN1	RBM39	9606.ENSP00000216727	9606.ENSP00000253363	0.422	0.422
PARP1	RPS27A	9606.ENSP00000355759	9606.ENSP00000272317	0.422	0.422
PCBP2	RBM39	9606.ENSP00000352438	9606.ENSP00000253363	0.422	0.422
PCBP2	RACK1	9606.ENSP00000352438	9606.ENSP00000426909	0.422	0.422
PPAN-P2RY11	RPL37A	9606.ENSP00000377385	9606.ENSP00000418082	0.422	0.422
PPIH	RBM39	9606.ENSP00000306614	9606.ENSP00000253363	0.422	0.422
PRPF6	RBM39	9606.ENSP00000266079	9606.ENSP00000253363	0.422	0.422
RBM39	RPS23	9606.ENSP00000253363	9606.ENSP00000296674	0.422	0.422
RBM39	RPL3	9606.ENSP00000253363	9606.ENSP00000346001	0.422	0.422
RBM39	SYNCRIP	9606.ENSP00000253363	9606.ENSP00000358635	0.422	0.422
RBM39	THRAP3	9606.ENSP00000253363	9606.ENSP00000346634	0.422	0.422
RBM39	RPL9	9606.ENSP00000253363	9606.ENSP00000494697	0.422	0.422
RBM39	RPL18	9606.ENSP00000253363	9606.ENSP00000447001	0.422	0.422
RBM39	SNRPA1	9606.ENSP00000253363	9606.ENSP00000254193	0.422	0.422
RBM39	RPL7	9606.ENSP00000253363	9606.ENSP00000339795	0.422	0.422
RBM39	RPS24	9606.ENSP00000253363	9606.ENSP00000414321	0.422	0.422
RBM39	RPL10A	9606.ENSP00000253363	9606.ENSP00000363018	0.422	0.422
RBM39	RPL27	9606.ENSP00000253363	9606.ENSP00000464813	0.422	0.422
RBM39	RPLP0	9606.ENSP00000253363	9606.ENSP00000449328	0.422	0.422
RBM39	SNRNP40	9606.ENSP00000253363	9606.ENSP00000263694	0.422	0.422
RBM39	RPS6	9606.ENSP00000253363	9606.ENSP00000369757	0.422	0.422
RBM39	RPL10	9606.ENSP00000253363	9606.ENSP00000413436	0.422	0.422
RBM39	RPSA	9606.ENSP00000253363	9606.ENSP00000389351	0.422	0.422
RBM39	RPL13A	9606.ENSP00000253363	9606.ENSP00000375730	0.422	0.422
RPL9	TPT1	9606.ENSP00000494697	9606.ENSP00000477781	0.422	0.422
RPN1	TPT1	9606.ENSP00000296255	9606.ENSP00000477781	0.422	0.422
RPS24	YBX1	9606.ENSP00000414321	9606.ENSP00000361626	0.422	0.422
RPS8	TPT1	9606.ENSP00000379888	9606.ENSP00000477781	0.422	0.422
ATRX	PCNA	9606.ENSP00000362441	9606.ENSP00000368458	0.423	0.422
BRIX1	RPL22	9606.ENSP00000338862	9606.ENSP00000346088	0.423	0.423
DDX3X	YBX1	9606.ENSP00000494040	9606.ENSP00000361626	0.423	0.422
DDX5	HNRNPA3	9606.ENSP00000225792	9606.ENSP00000376309	0.423	0.422
DHX30	G3BP2	9606.ENSP00000405620	9606.ENSP00000352738	0.423	0.422
FTSJ3	RPL22	9606.ENSP00000396673	9606.ENSP00000346088	0.423	0.423
HNRNPD	PARP1	9606.ENSP00000313199	9606.ENSP00000355759	0.423	0.422
C1QBP	NUP107	9606.ENSP00000225698	9606.ENSP00000229179	0.424	0.424
EFTUD2	RPL19	9606.ENSP00000392094	9606.ENSP00000225430	0.424	0.424
EFTUD2	RPL35	9606.ENSP00000392094	9606.ENSP00000259469	0.424	0.424
EFTUD2	RPS11	9606.ENSP00000392094	9606.ENSP00000270625	0.424	0.424
EFTUD2	RPS3	9606.ENSP00000392094	9606.ENSP00000278572	0.424	0.424
EFTUD2	RPL13	9606.ENSP00000392094	9606.ENSP00000307889	0.424	0.424
EFTUD2	RPL15	9606.ENSP00000392094	9606.ENSP00000309334	0.424	0.424
EFTUD2	RPS3A	9606.ENSP00000392094	9606.ENSP00000346050	0.424	0.424
EFTUD2	RPL5	9606.ENSP00000392094	9606.ENSP00000359345	0.424	0.424
EFTUD2	RPS6	9606.ENSP00000392094	9606.ENSP00000369757	0.424	0.424
